profile_id,n_inversion_layers,has_G,has_E,has_HE,lowest_layer_index,strongest_layer_index,lowest_base_agl_m,lowest_top_agl_m,lowest_delta_t_c,strongest_delta_t_c,strongest_depth_m,pattern
31004_20000113_1200_12,1,True,False,False,0,0,0.0,69.60000000000002,0.8000000000000114,0.8000000000000114,69.60000000000002,G
31004_20000116_1200_12,1,True,False,False,0,0,0.0,749.4000000000001,5.800000000000008,5.800000000000008,749.4000000000001,G
31004_20000129_1200_12,3,True,False,True,0,0,0.0,142.20000000000005,2.5999999999999943,2.5999999999999943,142.20000000000005,MULTI
31004_20000115_1200_12,1,True,False,False,0,0,0.0,129.60000000000002,0.8000000000000114,0.8000000000000114,129.60000000000002,G
31004_20000120_1200_12,1,True,False,False,0,0,0.0,823.3,8.0,8.0,823.3,G
31004_20000114_1200_12,1,True,False,False,0,0,0.0,366.0999999999999,4.400000000000002,4.400000000000002,366.0999999999999,G
31004_20000117_1200_12,2,True,False,True,0,0,0.0,366.0999999999999,3.199999999999992,3.199999999999992,366.0999999999999,G+HE
31004_20000201_1200_12,1,True,False,False,0,0,0.0,79.60000000000002,2.8000000000000096,2.8000000000000096,79.60000000000002,G
31004_20000118_1200_12,1,True,False,False,0,0,0.0,759.3,3.799999999999983,3.799999999999983,759.3,G
31004_20000203_1200_12,1,True,False,False,0,0,0.0,1249.6,10.599999999999994,10.599999999999994,1249.6,G
31004_20000131_1200_12,1,False,False,True,0,0,793.3,1239.4,2.5999999999999943,2.5999999999999943,446.10000000000014,HE
31004_20000119_1200_12,1,True,False,False,0,0,0.0,769.3,13.200000000000014,13.200000000000014,769.3,G
31004_20000130_1200_12,2,True,False,True,0,1,0.0,134.20000000000005,1.2000000000000437,4.3999999999999755,441.70000000000005,G+HE
31004_20000202_1200_12,1,True,False,False,0,0,0.0,99.60000000000002,1.400000000000034,1.400000000000034,99.60000000000002,G
31004_20000204_1200_12,1,True,False,False,0,0,0.0,1045.1,11.799999999999983,11.799999999999983,1045.1,G
31004_20000207_1200_12,1,False,False,True,0,0,364.5,1255.5,6.800000000000015,6.800000000000015,891.0,HE
